name,week,year,pass_yards,pass_tds,rush_attempts,rush_yards,rush_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,interceptions,fantasy_points,game_played,rostered_percent
Cam Miller (LV),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Skylar Thompson (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80%
Aidan O'Connell (LV),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90%
Hendon Hooker (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Sam Hartman (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Anthony Richardson Sr. (IND),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10%
Graham Mertz (HOU),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Malik Willis (GB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Quinn Ewers (MIA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Stetson Bennett IV (LAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Bailey Zappe (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Clayton Tune (GB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Tyson Bagent (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Riley Leonard (IND),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Chris Oladokun (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jake Haener (NO),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Tanner McKee (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90%
Tyrod Taylor (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Ben Chappell (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Adam Froman (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andy Dalton (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Kirk Cousins (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20%
Hunter Cantwell (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Teddy Bridgewater (TB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
Case Keenum (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Erik Ainge (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jimmy Garoppolo (LAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90%
Josh Johnson (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Brett Smith (TB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kyle Allen (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Nick Mullens (JAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80%
Mason Rudolph (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Logan Woodside (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Shane Buechele (BUF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tyler Huntley (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Easton Stick (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Drew Lock (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60%
Will Grier (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jake Browning (CIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,8.90%
Gardner Minshew II (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Jarrett Stidham (DEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Cooper Rush (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50%
C.J. Beathard (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Marcus Mariota (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,4.00%
Jameis Winston (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
Trevor Siemian (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mitchell Trubisky (BUF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Deshaun Watson (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Joshua Dobbs (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Carson Wentz (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20%
Jeff Driskel (LV),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jacoby Brissett (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Brandon Allen (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Derrick Henry (BAL),1,2025,0,0,18,169,2,1,1,13,0,1,0,28.7,1,99.80%
Bijan Robinson (ATL),1,2025,0,0,12,24,0,7,6,100,1,0,0,21.4,1,99.80%
Javonte Williams (DAL),1,2025,0,0,15,54,2,3,2,10,0,0,0,19.4,1,94.90%
Christian McCaffrey (SF),1,2025,0,0,22,69,0,10,9,73,0,0,0,18.7,1,99.80%
James Cook III (BUF),1,2025,0,0,13,44,1,5,5,58,0,0,0,18.7,1,99.40%
