name,week,year,pass_yards,pass_tds,rush_attempts,rush_yards,rush_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,interceptions,fantasy_points,game_played,rostered_percent
Jashaun Corbin (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Phil Mafah (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
George Holani (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10%
MarShawn Lloyd (GB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40%
Ulysses Bentley IV (IND),1,2025,0,0,1,0,0,0,0,0,0,0,0,0,1,0.00%
Eric Gray (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Donovan Edwards (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Audric Estime (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20%
Zonovan Knight (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Brittain Brown (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20%
Keaton Mitchell (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60%
Kenny McIntosh (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Tyjae Spears (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,37.50%
Roschon Johnson (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90%
Malik Davis (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Pierre Strong Jr. (GB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Ronnie Rivers (LAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Hassan Haskins (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,1.10%
Jaydon Blue (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,17.90%
Jarquez Hunter (LAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%
Velus Jones Jr. (FA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Jakob Johnson (HOU),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Shane Bannon (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jay Finley (CIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Willie Carter (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kenny Irons (CIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Chad Simpson (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Anthony Alridge (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Dantrell Savage (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Xavier Omon (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Garrett Mills (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Madison Hedgecock (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Samkon Gado (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tim Flanders (NO),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Patrick Ricard (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%
Nyheim Hines (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Myles Gaskin (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Joe Mixon (HOU),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,67.10%
Taquan Mizzell (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Andrew Beck (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Alexander Mattison (MIA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Mike Weber (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Travis Homer (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Chase Edmonds (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jeff Wilson Jr. (MIA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00%
C.J. Ham (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Brennan Clay (DEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ameer Abdullah (IND),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Raheem Mostert (LV),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40%
Michael Burton (DEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kaleb Johnson (PIT),1,2025,0,0,1,-2,0,0,0,0,0,0,0,-0.2,1,32.50%
Justice Hill (BAL),1,2025,0,0,2,-14,0,2,1,3,0,0,0,-0.6,1,21.00%
Zay Flowers (BAL),1,2025,0,0,2,8,0,9,7,143,1,0,0,24.6,1,96.90%
Quentin Johnston (LAC),1,2025,0,0,0,0,0,7,5,79,2,0,0,22.4,1,66.90%
Emeka Egbuka (TB),1,2025,0,0,1,9,0,6,4,67,2,0,0,21.6,1,96.40%
Keon Coleman (BUF),1,2025,0,0,0,0,0,11,8,112,1,0,0,21.2,1,74.30%
Deebo Samuel Sr. (WAS),1,2025,0,0,1,19,1,10,7,77,0,0,0,19.1,1,91.90%
Garrett Wilson (NYJ),1,2025,0,0,0,0,0,9,7,95,1,0,0,19,1,98.70%
Puka Nacua (LAR),1,2025,0,0,1,1,0,11,10,130,0,0,0,18.1,1,99.80%
Michael Pittman Jr. (IND),1,2025,0,0,0,0,0,8,6,80,1,0,0,17,1,84.00%
Keenan Allen (LAC),1,2025,0,0,0,0,0,10,7,68,1,0,0,16.3,1,88.40%
Marvin Harrison Jr. (ARI),1,2025,0,0,0,0,0,6,5,71,1,0,0,15.6,1,97.20%
Courtland Sutton (DEN),1,2025,0,0,0,0,0,9,6,61,1,0,0,15.1,1,95.00%
Calvin Austin III (PIT),1,2025,0,0,0,0,0,6,4,70,1,0,0,15,1,9.50%
Marquise Brown (KC),1,2025,0,0,0,0,0,16,10,99,0,0,0,14.9,1,43.00%
Jaxon Smith-Njigba (SEA),1,2025,0,0,0,0,0,13,9,124,0,1,0,14.9,1,99.40%
CeeDee Lamb (DAL),1,2025,0,0,0,0,0,13,7,110,0,0,0,14.5,1,99.80%
Cedric Tillman (CLE),1,2025,0,0,0,0,0,8,5,52,1,0,0,13.7,1,21.20%
Jakobi Meyers (LV),1,2025,0,0,0,0,0,10,8,97,0,0,0,13.7,1,90.70%
Kayshon Boutte (NE),1,2025,0,0,0,0,0,8,6,103,0,0,0,13.3,1,7.40%
Justin Jefferson (MIN),1,2025,0,0,1,4,0,7,4,44,1,0,0,12.8,1,99.80%
Ricky Pearsall (SF),1,2025,0,0,0,0,0,7,4,108,0,0,0,12.8,1,86.60%
Rome Odunze (CHI),1,2025,0,0,0,0,0,9,6,37,1,0,0,12.7,1,95.00%
Tre Tucker (LV),1,2025,0,0,0,0,0,3,2,54,1,0,0,12.4,1,54.60%
Jayden Reed (GB),1,2025,0,0,0,0,0,5,3,45,1,0,0,12,1,42.80%
DeAndre Hopkins (BAL),1,2025,0,0,0,0,0,2,2,35,1,0,0,10.5,1,9.70%
Ladd McConkey (LAC),1,2025,0,0,0,0,0,9,6,74,0,0,0,10.4,1,97.00%
DK Metcalf (PIT),1,2025,0,0,0,0,0,7,4,83,0,0,0,10.3,1,97.30%
Malik Nabers (NYG),1,2025,0,0,0,0,0,12,5,71,0,0,0,9.6,1,47.60%
Drake London (ATL),1,2025,0,0,0,0,0,15,8,55,0,0,0,9.5,1,99.20%
Khalil Shakir (BUF),1,2025,0,0,0,0,0,9,6,64,0,0,0,9.4,1,80.90%
Tetairoa McMillan (CAR),1,2025,0,0,0,0,0,9,5,68,0,0,0,9.3,1,94.60%
Jerry Jeudy (CLE),1,2025,0,0,0,0,0,8,5,66,0,0,0,9.1,1,86.20%
Chris Olave (NO),1,2025,0,0,0,0,0,13,7,54,0,0,0,8.9,1,90.30%
Stefon Diggs (NE),1,2025,0,0,0,0,0,7,6,57,0,0,0,8.7,1,85.30%
Ben Skowronek (PIT),1,2025,0,0,0,0,0,1,1,22,1,0,0,8.7,1,0.10%
Joshua Palmer (BUF),1,2025,0,0,0,0,0,9,5,61,0,0,0,8.6,1,13.40%
Brian Thomas Jr. (JAC),1,2025,0,0,1,9,1,7,1,11,0,0,0,8.5,1,98.10%
Wan'Dale Robinson (NYG),1,2025,0,0,0,0,0,8,6,55,0,0,0,8.5,1,51.90%
JuJu Smith-Schuster (KC),1,2025,0,0,0,0,0,5,5,55,0,0,0,8,1,7.30%
Isaac TeSlaa (DET),1,2025,0,0,0,0,0,1,1,13,1,0,0,7.8,1,5.60%
Romeo Doubs (GB),1,2025,0,0,0,0,0,4,2,68,0,0,0,7.8,1,38.20%
Mike Evans (TB),1,2025,0,0,0,0,0,8,5,51,0,0,0,7.6,1,95.70%
Jahan Dotson (PHI),1,2025,0,0,0,0,0,3,3,59,0,0,0,7.4,1,1.20%
Dyami Brown (JAC),1,2025,0,0,2,6,0,4,3,52,0,0,0,7.3,1,4.70%
DeMario Douglas (NE),1,2025,0,0,1,4,0,7,2,-2,1,0,0,7.2,1,13.00%
DJ Moore (CHI),1,2025,0,0,3,8,0,5,3,68,0,1,0,7.1,1,89.40%
Davante Adams (LAR),1,2025,0,0,0,0,0,8,4,51,0,0,0,7.1,1,98.50%
Ray-Ray McCloud III (ATL),1,2025,0,0,0,0,0,5,3,51,0,0,0,6.6,1,1.50%
Amon-Ra St. Brown (DET),1,2025,0,0,0,0,0,6,4,45,0,0,0,6.5,1,99.70%
Troy Franklin (DEN),1,2025,0,0,0,0,0,6,4,44,0,0,0,6.4,1,40.10%
Rashid Shaheed (NO),1,2025,0,0,0,0,0,9,6,33,0,0,0,6.3,1,67.80%
Travis Hunter (JAC),1,2025,0,0,0,0,0,8,6,33,0,0,0,6.3,1,87.60%
Olamide Zaccheaus (CHI),1,2025,0,0,0,0,0,7,4,42,0,0,0,6.2,1,0.90%
Tyreek Hill (MIA),1,2025,0,0,0,0,0,6,4,40,0,0,0,6,1,59.00%
Dont'e Thornton Jr. (LV),1,2025,0,0,0,0,0,4,2,45,0,0,0,5.5,1,7.20%
Sterling Shepard (TB),1,2025,0,0,0,0,0,6,3,39,0,0,0,5.4,1,2.60%
Tyquan Thornton (KC),1,2025,0,0,0,0,0,4,2,41,0,0,0,5.1,1,12.10%
Jaylen Waddle (MIA),1,2025,0,0,0,0,0,5,4,30,0,0,0,5,1,94.10%
Casey Washington (ATL),1,2025,0,0,0,0,0,6,3,33,0,0,0,4.8,1,0.00%
Tee Higgins (CIN),1,2025,0,0,0,0,0,4,3,33,0,0,0,4.8,1,96.80%
Calvin Ridley (TEN),1,2025,0,0,0,0,0,8,4,27,0,0,0,4.7,1,74.70%
Jameson Williams (DET),1,2025,0,0,1,3,0,5,4,23,0,0,0,4.6,1,91.90%
Xavier Hutchinson (HOU),1,2025,0,0,1,5,0,2,2,30,0,0,0,4.5,1,0.60%
George Pickens (DAL),1,2025,0,0,0,0,0,4,3,30,0,0,0,4.5,1,96.80%
Jayden Higgins (HOU),1,2025,0,0,0,0,0,3,2,32,0,0,0,4.2,1,22.40%
Xavier Smith (LAR),1,2025,0,0,0,0,0,1,1,36,0,0,0,4.1,1,1.00%
Alec Pierce (IND),1,2025,0,0,0,0,0,3,1,36,0,0,0,4.1,1,6.30%
Tyler Johnson (NYJ),1,2025,0,0,0,0,0,2,2,31,0,0,0,4.1,1,1.10%
Brandin Cooks (NO),1,2025,0,0,0,0,0,4,3,26,0,0,0,4.1,1,2.40%
Nico Collins (HOU),1,2025,0,0,0,0,0,5,3,25,0,0,0,4,1,99.60%
Dontayvion Wicks (GB),1,2025,0,0,0,0,0,2,2,30,0,0,0,4,1,3.50%
Malik Washington (MIA),1,2025,0,0,1,9,0,5,2,20,0,0,0,3.9,1,29.70%
Chris Moore (WAS),1,2025,0,0,0,0,0,1,1,34,0,0,0,3.9,1,0.00%
KaVontae Turpin (DAL),1,2025,0,0,2,9,0,2,2,18,0,0,0,3.7,1,10.80%
Noah Brown (WAS),1,2025,0,0,0,0,0,3,2,27,0,0,0,3.7,1,1.00%
Terry McLaurin (WAS),1,2025,0,0,0,0,0,4,2,27,0,0,0,3.7,1,94.70%
Justin Watson (HOU),1,2025,0,0,0,0,0,2,2,27,0,0,0,3.7,1,1.80%
Ja'Marr Chase (CIN),1,2025,0,0,0,0,0,5,2,26,0,0,0,3.6,1,99.70%
Jalen Nailor (MIN),1,2025,0,0,0,0,0,3,1,28,0,0,0,3.3,1,2.10%
Adonai Mitchell (IND),1,2025,0,0,0,0,0,2,2,21,0,0,0,3.1,1,2.50%
DeVonta Smith (PHI),1,2025,0,0,0,0,0,3,3,16,0,0,0,3.1,1,92.90%
Jack Bech (LV),1,2025,0,0,0,0,0,1,1,23,0,0,0,2.8,1,3.60%
Josh Reynolds (NYJ),1,2025,0,0,0,0,0,3,2,18,0,0,0,2.8,1,1.60%
Matthew Golden (GB),1,2025,0,0,0,0,0,2,2,16,0,0,0,2.6,1,74.40%
Kalif Raymond (DET),1,2025,0,0,0,0,0,3,2,16,0,0,0,2.6,1,0.60%
Jauan Jennings (SF),1,2025,0,0,0,0,0,5,2,16,0,0,0,2.6,1,76.10%
Cooper Kupp (SEA),1,2025,0,0,0,0,0,3,2,15,0,0,0,2.5,1,77.90%
Xavier Legette (CAR),1,2025,0,0,0,0,0,7,3,10,0,0,0,2.5,1,16.00%
Elic Ayomanor (TEN),1,2025,0,0,0,0,0,7,2,13,0,0,0,2.3,1,42.50%
Josh Downs (IND),1,2025,0,0,0,0,0,3,2,12,0,0,0,2.2,1,54.50%
Hunter Renfrow (CAR),1,2025,0,0,0,0,0,6,2,11,0,0,0,2.1,1,1.70%
Adam Thielen (MIN),1,2025,0,0,0,0,0,1,0,0,0,0,0,2,1,13.40%
Rashod Bateman (BAL),1,2025,0,0,0,0,0,4,2,10,0,0,0,2,1,26.20%
Devaughn Vele (NO),1,2025,0,0,0,0,0,2,1,13,0,0,0,1.8,1,0.60%
Kyle Williams (NE),1,2025,0,0,0,0,0,1,1,12,0,0,0,1.7,1,3.80%
Jaylin Lane (WAS),1,2025,0,0,0,0,0,2,1,11,0,0,0,1.6,1,0.90%
Tre Harris (LAC),1,2025,0,0,0,0,0,1,1,11,0,0,0,1.6,1,6.90%
Elijah Moore (BUF),1,2025,0,0,1,8,0,1,1,3,0,0,0,1.6,1,0.60%
Ashton Dulin (IND),1,2025,0,0,1,15,0,0,0,0,0,0,0,1.5,1,0.00%
Dee Eskridge (MIA),1,2025,0,0,0,0,0,2,1,9,0,0,0,1.4,1,0.10%
A.J. Brown (PHI),1,2025,0,0,0,0,0,1,1,8,0,0,0,1.3,1,99.20%
Bryce Oliver (TEN),1,2025,0,0,0,0,0,1,1,8,0,0,0,1.3,1,0.00%
Jaylin Noel (HOU),1,2025,0,0,0,0,0,2,1,7,0,0,0,1.2,1,2.00%
Nick Westbrook-Ikhine (MIA),1,2025,0,0,0,0,0,2,1,7,0,0,0,1.2,1,1.50%
Jamari Thrash (CLE),1,2025,0,0,0,0,0,1,1,6,0,0,0,1.1,1,0.70%
Michael Wilson (ARI),1,2025,0,0,0,0,0,4,1,5,0,0,0,1,1,4.10%
Isaiah Bond (CLE),1,2025,0,0,0,0,0,1,1,5,0,0,0,1,1,11.30%
Chimere Dike (TEN),1,2025,0,0,1,9,0,1,0,0,0,0,0,0.9,1,1.30%
Zay Jones (ARI),1,2025,0,0,0,0,0,1,1,4,0,0,0,0.9,1,0.60%
Tutu Atwell (LAR),1,2025,0,0,0,0,0,1,1,4,0,0,0,0.9,1,1.50%
Trent Sherfield Sr. (DEN),1,2025,0,0,0,0,0,1,1,3,0,0,0,0.8,1,0.00%
Mack Hollins (NE),1,2025,0,0,0,0,0,2,1,3,0,0,0,0.8,1,0.90%
Marvin Mims Jr. (DEN),1,2025,0,0,0,0,0,4,3,12,0,1,0,0.7,1,36.60%
Savion Williams (GB),1,2025,0,0,0,0,0,1,1,1,0,0,0,0.6,1,0.70%
Jordan Whittington (LAR),1,2025,0,0,1,5,0,0,0,0,0,0,0,0.5,1,1.10%
Jalen Tolbert (DAL),1,2025,0,0,0,0,0,2,1,0,0,0,0,0.5,1,7.10%
Derius Davis (LAC),1,2025,0,0,1,3,0,0,0,0,0,0,0,0.3,1,0.60%
Greg Dortch (ARI),1,2025,0,0,0,0,0,1,1,-2,0,0,0,0.3,1,0.80%
Luther Burden III (CHI),1,2025,0,0,0,0,0,1,1,-3,0,0,0,0.2,1,14.70%
Chris Tyree (NO),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kevin Austin Jr. (NO),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jonathan Mingo (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Xavier Worthy (KC),1,2025,0,0,1,0,0,1,0,0,0,0,0,0,1,96.00%
Malik Cunningham (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Jermaine Burton (CIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Arian Smith (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60%
Cornelius Johnson (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Ronnie Bell (NO),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
AJ Henning (MIA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jalen McMillan (TB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40%
Ainias Smith (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Simi Fehoko (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Parker Washington (JAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.90%
Jordan Addison (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,84.80%
David Bell (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Rashee Rice (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,87.70%
Beaux Collins (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10%
Traeshon Holden (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
John Metchie III (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.80%
Ja'Corey Brooks (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Javon Baker (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Chris Blair (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Mason Kinsey (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Quez Watkins (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Cody White (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Rondale Moore (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20%
Lawrence Cager (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tylan Wallace (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60%
Van Jefferson (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60%
Darnell Mooney (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,48.50%
Kristian Wilkerson (BUF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Alex Bachman (LV),1,2025,0,0,0,0,0,1,0,0,0,0,0,0,1,0.00%
D.J. Montgomery (IND),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Brandon Aiyuk (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,48.80%
Devin Duvernay (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60%
James Proche II (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Isaiah Hodgins (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Quintez Cephus (HOU),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Gabe Davis (BUF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90%
Jalen Reagor (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tom Kennedy (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Gunner Olszewski (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Andre Baccellia (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Dan Chisena (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ihmir Smith-Marsette (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Seth Williams (LV),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Terrace Marshall Jr. (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Mason Tipton (NO),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30%
JaQuae Jackson (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jeshaun Jones (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kameron Johnson (TB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Anthony Gould (IND),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60%
Dayton Wade (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tejhaun Palmer (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jalen Coker (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,10.30%
Malachi Corley (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Isaiah Neyor (GB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Tory Horton (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,7.90%
John Stephens Jr. (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Devontez Walker (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Dominic Lovett (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Bub Means (NO),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Luke McCaffrey (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,5.80%
Joshua Cephus (JAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Isaiah Williams (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tahj Washington (MIA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Ryan Flournoy (DAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Ja'Lynn Polk (NO),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Roman Wilson (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,1.40%
John Jiles (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Dalen Cambre (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Chandler Brayboy (JAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Quentin Skinner (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jackson Meeks (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jakobie Keeney-James (GB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Dontae Fleming (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ke'Shawn Williams (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Coleman Owen (IND),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Brennan Presley (LAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Junior Bergen (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
JP Richardson (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jordan Moore (CIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Stephen Gosnell (BUF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Courtney Jackson (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Luke Grimm (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tru Edwards (LAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jordan Watkins (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Dalevon Campbell (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Cade McDonald (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Tyrone Broden (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Myles Price (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10%
Jahdae Walker (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
Gage Larvadain (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jeremiah Webb (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Luke Floriea (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Darius Cooper (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,1.50%
Jimmy Holiday (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ja'seem Reed (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Josh Kelly (HOU),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
TJ Moore (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jimmy Horn Jr. (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Da'Quan Felton (NYG),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Xavier Restrepo (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50%
Jalen Royals (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60%
Nick Nash (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Tez Johnson (TB),1,2025,0,0,0,0,0,1,0,0,0,0,0,0,1,0.60%
Tai Felton (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60%
Ricky White III (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Pat Bryant (DEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,2.30%
Theo Wease Jr. (MIA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
